ID,Name,Current Own%
256,Stansfield,0.1
257,Tete,0.1
258,Vinicius,0.6
259,Wilson,0.2
579,Sessegnon,0.2
586,J.Cuenca,0.1
604,King,0.0
605,Godo,0.0
260,Al-Hamadi,0.4
261,Baggott,0.1
262,Broadhead,0.0
263,Burgess,0.4
264,Burns,0.1
265,Chaplin,0.3
266,Clarke,0.1
267,Davis,1.9
268,Delap,0.4
269,Edmundson,0.2
270,Greaves,0.5
271,Harness,0.0
272,Hirst,0.0
273,Humphreys,0.1
274,Hutchinson,0.7
275,Johnson,2.9
276,Ladapo,2.1
277,Luongo,0.3
278,Morsy,0.2
279,Ndaba,0.0
280,Slicker,0.9
281,Taylor,0.0
282,Tuanzebe,1.2
283,Walton,0.2
284,Woolfenden,1.3
568,Muric,0.5
583,Townsend,0.4
117,Buonanotte,0.1
285,B.Soumaré,0.2
286,Cannon,1.1
287,Choudhury,0.3
288,Coady,0.5
289,Daka,0.6
290,De Cordova-Reid,0.2
291,Faes,7.4
292,Golding,0.1
293,Hermansen,0.5
294,Iversen,0.8
295,Justin,0.3
296,Kristiansen,0.1
297,Marcal,0.1
298,Mavididi,0.6
299,McAteer,0.1
300,Ndidi,0.2
301,Okoli,0.2
302,Ricardo,0.3
303,Souttar,0.1
304,Stolarczyk,0.1
305,Thomas,0.6
306,Vardy,2.2
307,Vestergaard,1.7
308,Ward,2.7
309,Winks,13.3
570,A.Fatawu,0.4
606,Alves,0.0
310,A.Becker,10.5
311,Alexander-Arnold,27.9
312,Bajcetic,0.2
313,Bradley,0.7
315,Clark,0.1
316,Darwin,6.2
317,Diogo J.,13.3
318,Doak,0.1
319,Elliott,1.4
320,Endo,0.2
321,Gakpo,4.6
322,Gomez,0.6
323,Gravenberch,0.1
324,Jones,0.1
325,Kelleher,0.3
326,Konaté,1.8
327,Luis Díaz,8.6
328,M.Salah,33.8
329,Mac Allister,2.6
330,McConnell,0.0
331,Morton,0.1
332,N.Phillips,0.2
333,Quansah,4.9
334,R.Williams,0.2
335,Robertson,4.9
336,Szoboszlai,2.1
337,Tsimikas,0.5
338,Van den Berg,0.4
339,Virgil,11.8
340,Akanji,4.4
341,Aké,2.8
342,Bernardo,3.8
343,Bobb,1.1
344,Carson,0.2
345,De Bruyne,7.2
346,Doku,3.1
347,Ederson M.,6.4
348,Foden,20.2
349,Grealish,0.3
350,Gvardiol,33.5
351,Haaland,49.1
352,J.Alvarez,0.8
353,João Cancelo,1.0
354,Kovačić,0.2
355,Lewis,0.4
356,Matheus N.,0.0
357,McAtee,0.1
358,Ortega Moreno,1.2
359,Phillips,0.1
360,Rodrigo,6.9
361,Rúben,3.4
362,Stones,2.4
363,Walker,9.6
571,Sávio,0.5
607,O’Reilly,0.0
364,Amad,3.2
365,Antony,0.3
366,B.Fernandes,18.0
367,Bayindir,0.1
368,Casemiro,0.4
369,Dalot,7.6
370,Eriksen,0.2
371,Evans,0.1
372,Garnacho,16.6
373,Hannibal,0.1
374,Heaton,0.2
375,Højlund,1.1
376,Lindelof,0.2
377,Maguire,0.4
378,Mainoo,6.4
379,Malacia,0.0
380,Martinez,4.8
381,McTominay,1.1
382,Mount,0.3
383,Onana,6.0
384,Pellistri,0.0
385,Rashford,5.1
386,Sancho,0.4
387,Shaw,1.7
389,Zirkzee,2.1
572,Yoro,0.4
593,De Ligt,2.3
594,Mazraoui,1.5
390,A.Murphy,0.8
391,Almirón,1.0
392,Barnes,0.5
393,Botman,0.0
394,Bruno G.,3.3
395,Burn,17.7
396,Dúbravka,1.4
397,Fraser,0.0
398,Gordon,28.4
399,Hall,3.9
400,Hayden,0.1
401,Isak,58.6
402,J.Murphy,1.8
403,Joelinton,0.4
404,Kelly,0.2
405,Krafth,0.1
406,Kuol,0.0
407,Lascelles,0.0
408,Lewis,0.4
409,Livramento,1.3
410,Longstaff,1.2
411,Miley,0.0
412,Odysseas,0.2
413,Pope,5.8
414,Ruddy,0.3
415,Schär,3.4
416,Targett,0.6
417,Tonali,0.1
418,Trippier,13.9
419,White,0.3
420,Willock,0.2
421,Wilson,0.2
574,Pivas,0.1
590,Osula,0.1
422,Aina,1.1
423,Anderson,0.2
424,Awoniyi,1.0
425,Boly,0.3
426,Bowler,0.1
427,C.Miguel,0.5
428,Da Silva Moreira,0.1
429,Danilo,0.1
430,Dennis,0.3
431,Dominguez,0.0
432,Elanga,2.6
433,Gibbs-White,5.3
434,Hudson-Odoi,4.0
435,Mighten,0.0
436,Murillo,0.6
437,N.Williams,0.6
438,O.Richards,0.1
439,O'Brien,0.0
440,Omobamidele,0.1
441,Panzo,0.0
442,Sangaré,2.0
443,Sels,1.1
444,Toffolo,0.1
445,Turner,20.9
446,Ui-jo,1.5
447,Wood,5.1
448,Worrall,0.1
449,Yates,0.1
573,Milenković,0.2
596,Jota Silva,0.0
450,Alcaraz,0.1
451,Amo-Ameyaw,0.1
452,Aribo,0.1
453,Armstrong,2.0
454,Bazunu,0.4
455,Bednarek,1.2
456,Bella-Kotchap,0.4
457,Bree,0.2
458,Charles,0.1
459,Edozie,0.0
460,Edwards,0.2
461,Harwood-Bellis,11.1
462,Kamaldeen,0.0
463,Lallana,0.1
464,Larios,0.1
